Offer Title,Image,Description,,Link,Eligible Credit Cards,Eligible Debit Cards
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Royale Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Visa Gold Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Platinum Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Royale World Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU RuPay Platinum Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU RuPay Classic Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Visa Business Platinum Debit Card
Up to Rs. 4500,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/4f2d96e7fd99471ecdeae1ad6ccd3a88.jpg,YATRAAUDC,,https://www.yatra.com/offer/details/au-debit-card-offer,,AU Mastercard Platinum Debit Card
,,,,,,
,,,,,,
